brand,topupdate,activationdate,iccidPREFIX,iccid,resellerid,offmgrid,bundlecode,TopupSeq, Spiff 
LMPLUS,2016-02-15,2016-02-15,8919601,000140843380,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-21,2016-02-21,8919601,000140843034,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-01,2016-02-01,8919601,000140842101,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-12,2016-02-12,8919601,000144717879,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,2nd_renewal, $20.00 
LMPLUS,2016-02-21,2016-02-21,8919601,000142689401,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2045,2nd_renewal, $25.00 
LMPLUS,2016-02-23,2016-02-23,8919601,000142689351,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,2nd_renewal, $10.00 
LMPLUS,2016-02-25,2016-02-25,8919601,000142689229,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,2nd_renewal, $10.00 
LMPLUS,2016-02-24,2016-02-24,8919601,000142688429,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2045,2nd_renewal, $25.00 
LMPLUS,2016-02-24,2016-02-24,8919601,000142688411,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2023,2nd_renewal, $15.00 
LMPLUS,2016-02-24,2016-02-24,8919601,000142688361,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,2nd_renewal, $20.00 
LMPLUS,2016-02-25,2016-02-25,8919601,000142686787,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,2nd_renewal, $10.00 
LMPLUS,2016-02-08,2016-02-08,8919601,000142085675,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-27,2016-01-27,8919601,000142085410,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-27,2016-01-27,8919601,000142085295,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-27,2016-01-27,8919601,000142085147,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-27,2016-01-27,8919601,000142085089,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-18,2016-02-18,8919601,000142084876,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-09,2016-02-09,8919601,000142084850,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-21,2016-02-21,8919601,000142084801,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-25,2016-02-25,8919601,000142084652,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-22,2016-02-22,8919601,000142084629,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-09,2016-02-09,8919601,000142084496,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-27,2016-01-27,8919601,000142084298,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-30,2016-01-30,8919601,000142084108,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-13,2016-02-13,8919601,000142083969,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-03,2016-02-03,8919601,000142083936,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-26,2016-01-26,8919601,000142082821,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-26,2016-01-26,8919601,000142082573,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-11,2016-02-11,8919601,000140949955,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-26,2016-01-26,8919601,000140949351,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-13,2016-02-13,8919601,000140949237,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-19,2016-02-19,8919601,000140949211,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-05,2016-02-05,8919601,000140949138,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-27,2016-01-27,8919601,000140949096,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-27,2016-01-27,8919601,000140949054,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-02,2016-02-02,8919601,000140949021,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-20,2016-02-20,8919601,000140948817,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-11,2016-02-11,8919601,000140903895,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-27,2016-01-27,8919601,000140903853,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-03,2016-02-03,8919601,000140903549,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-09,2016-02-09,8919601,000140884939,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-03,2016-02-03,8919601,000140884863,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-05,2016-02-05,8919601,000140884020,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-23,2016-02-23,8919601,000140883691,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-12,2016-02-12,8919601,000140883550,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-16,2016-02-16,8919601,000140883402,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-16,2016-02-16,8919601,000140883394,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-24,2016-02-24,8919601,000140883246,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-13,2016-02-13,8919601,000140882891,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-13,2016-02-13,8919601,000140882842,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-08,2016-02-08,8919601,000140882289,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-08,2016-02-08,8919601,000140882156,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-23,2016-02-23,8919601,000140880408,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-22,2016-02-22,8919601,000140879541,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-30,2016-01-30,8919601,000114104256,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,1st_activation, $-   
LMPLUS,2016-01-26,2016-01-26,8919601,000114105550,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,1st_activation, $-   
LMPLUS,2016-02-22,2016-02-22,8919601,000114106475,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,1st_activation, $-   
LMPLUS,2016-02-03,2016-02-03,8919601,000114106657,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,1st_activation, $-   
LMPLUS,2016-02-02,2016-02-02,8919601,000114106996,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,1st_activation, $-   
LMPLUS,2016-01-27,2016-01-27,8919601,000114107200,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,1st_activation, $-   
LMPLUS,2016-02-08,2016-02-08,8919601,000114107424,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,1st_activation, $-   
LMPLUS,2016-02-08,2016-02-08,8919601,000114107838,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,1st_activation, $-   
LMPLUS,2016-02-03,2016-02-03,8919601,000140879475,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-04,2016-02-04,8919601,000140879301,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-22,2016-02-22,8919601,000140879178,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-11,2016-02-11,8919601,000140842838,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
